GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
0500000US01001,1001,"Autauga County, Alabama",5624,472,182,97,419,146,564,185,704,234,337,141,531,283,287,117,462,181,1478,291,660,197
0500000US01003,1003,"Baldwin County, Alabama",20663,1054,664,270,1562,319,2233,387,2318,441,2377,487,1788,384,1354,322,1317,354,4335,608,2715,483
0500000US01005,1005,"Barbour County, Alabama",3446,303,219,88,159,84,386,143,427,120,284,84,268,122,121,70,244,96,727,133,611,152
0500000US01007,1007,"Bibb County, Alabama",1704,239,147,92,146,100,166,116,81,48,183,84,191,116,108,66,64,53,342,134,276,114
0500000US01009,1009,"Blount County, Alabama",4444,448,243,110,369,144,381,156,484,190,479,187,318,121,223,101,205,103,593,162,1149,221
0500000US01011,1011,"Bullock County, Alabama",1100,251,12,15,28,42,95,84,134,109,106,66,138,114,28,35,21,42,417,177,121,65
0500000US01013,1013,"Butler County, Alabama",2110,196,117,58,221,85,264,88,161,66,94,46,194,75,97,52,171,73,303,95,488,112
0500000US01015,1015,"Calhoun County, Alabama",13804,873,776,198,1438,370,1483,308,1152,260,1286,286,1017,267,803,233,883,213,2920,348,2046,367
0500000US01017,1017,"Chambers County, Alabama",4591,365,231,99,530,188,573,134,409,118,458,138,323,142,313,130,257,98,743,193,754,171
0500000US01019,1019,"Cherokee County, Alabama",2360,372,187,100,239,109,118,62,161,101,97,59,228,115,138,96,240,119,443,176,509,164
0500000US01021,1021,"Chilton County, Alabama",4143,411,104,95,400,171,341,142,246,157,495,177,501,197,293,179,330,176,752,253,681,205
0500000US01023,1023,"Choctaw County, Alabama",1084,181,30,25,91,52,38,29,51,42,73,49,121,73,108,72,99,60,172,75,301,88
0500000US01025,1025,"Clarke County, Alabama",3266,326,125,81,300,108,135,72,179,101,134,72,359,177,32,28,131,51,430,161,1441,201
0500000US01027,1027,"Clay County, Alabama",1256,200,47,38,127,70,167,103,195,89,161,71,44,45,33,30,85,67,64,48,333,113
0500000US01029,1029,"Cleburne County, Alabama",1477,237,35,44,131,85,247,95,156,71,93,58,96,60,81,69,93,60,161,73,384,111
0500000US01031,1031,"Coffee County, Alabama",6798,456,243,94,436,115,939,208,1000,240,711,229,432,151,447,129,508,175,1266,207,816,145
