GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Less than $10,000:"
HD02_VD02,"Margin of Error; Less than $10,000:"
HD01_VD03,"Estimate; Less than $10,000: - Less than 20.0 percent"
HD02_VD03,"Margin of Error; Less than $10,000: - Less than 20.0 percent"
HD01_VD04,"Estimate; Less than $10,000: - 20.0 to 24.9 percent"
HD02_VD04,"Margin of Error; Less than $10,000: - 20.0 to 24.9 percent"
HD01_VD05,"Estimate; Less than $10,000: - 25.0 to 29.9 percent"
HD02_VD05,"Margin of Error; Less than $10,000: - 25.0 to 29.9 percent"
HD01_VD06,"Estimate; Less than $10,000: - 30.0 to 34.9 percent"
HD02_VD06,"Margin of Error; Less than $10,000: - 30.0 to 34.9 percent"
HD01_VD07,"Estimate; Less than $10,000: - 35.0 to 39.9 percent"
HD02_VD07,"Margin of Error; Less than $10,000: - 35.0 to 39.9 percent"
HD01_VD08,"Estimate; Less than $10,000: - 40.0 to 49.9 percent"
HD02_VD08,"Margin of Error; Less than $10,000: - 40.0 to 49.9 percent"
HD01_VD09,"Estimate; Less than $10,000: - 50.0 percent or more"
HD02_VD09,"Margin of Error; Less than $10,000: - 50.0 percent or more"
HD01_VD10,"Estimate; Less than $10,000: - Not computed"
HD02_VD10,"Margin of Error; Less than $10,000: - Not computed"
HD01_VD11,"Estimate; $10,000 to $19,999:"
HD02_VD11,"Margin of Error; $10,000 to $19,999:"
HD01_VD12,"Estimate; $10,000 to $19,999: - Less than 20.0 percent"
HD02_VD12,"Margin of Error; $10,000 to $19,999: - Less than 20.0 percent"
HD01_VD13,"Estimate; $10,000 to $19,999: - 20.0 to 24.9 percent"
HD02_VD13,"Margin of Error; $10,000 to $19,999: - 20.0 to 24.9 percent"
HD01_VD14,"Estimate; $10,000 to $19,999: - 25.0 to 29.9 percent"
HD02_VD14,"Margin of Error; $10,000 to $19,999: - 25.0 to 29.9 percent"
HD01_VD15,"Estimate; $10,000 to $19,999: - 30.0 to 34.9 percent"
HD02_VD15,"Margin of Error; $10,000 to $19,999: - 30.0 to 34.9 percent"
HD01_VD16,"Estimate; $10,000 to $19,999: - 35.0 to 39.9 percent"
HD02_VD16,"Margin of Error; $10,000 to $19,999: - 35.0 to 39.9 percent"
HD01_VD17,"Estimate; $10,000 to $19,999: - 40.0 to 49.9 percent"
HD02_VD17,"Margin of Error; $10,000 to $19,999: - 40.0 to 49.9 percent"
HD01_VD18,"Estimate; $10,000 to $19,999: - 50.0 percent or more"
HD02_VD18,"Margin of Error; $10,000 to $19,999: - 50.0 percent or more"
HD01_VD19,"Estimate; $10,000 to $19,999: - Not computed"
HD02_VD19,"Margin of Error; $10,000 to $19,999: - Not computed"
HD01_VD20,"Estimate; $20,000 to $34,999:"
HD02_VD20,"Margin of Error; $20,000 to $34,999:"
HD01_VD21,"Estimate; $20,000 to $34,999: - Less than 20.0 percent"
HD02_VD21,"Margin of Error; $20,000 to $34,999: - Less than 20.0 percent"
HD01_VD22,"Estimate; $20,000 to $34,999: - 20.0 to 24.9 percent"
HD02_VD22,"Margin of Error; $20,000 to $34,999: - 20.0 to 24.9 percent"
HD01_VD23,"Estimate; $20,000 to $34,999: - 25.0 to 29.9 percent"
HD02_VD23,"Margin of Error; $20,000 to $34,999: - 25.0 to 29.9 percent"
HD01_VD24,"Estimate; $20,000 to $34,999: - 30.0 to 34.9 percent"
HD02_VD24,"Margin of Error; $20,000 to $34,999: - 30.0 to 34.9 percent"
HD01_VD25,"Estimate; $20,000 to $34,999: - 35.0 to 39.9 percent"
HD02_VD25,"Margin of Error; $20,000 to $34,999: - 35.0 to 39.9 percent"
HD01_VD26,"Estimate; $20,000 to $34,999: - 40.0 to 49.9 percent"
HD02_VD26,"Margin of Error; $20,000 to $34,999: - 40.0 to 49.9 percent"
HD01_VD27,"Estimate; $20,000 to $34,999: - 50.0 percent or more"
HD02_VD27,"Margin of Error; $20,000 to $34,999: - 50.0 percent or more"
HD01_VD28,"Estimate; $20,000 to $34,999: - Not computed"
HD02_VD28,"Margin of Error; $20,000 to $34,999: - Not computed"
HD01_VD29,"Estimate; $35,000 to $49,999:"
HD02_VD29,"Margin of Error; $35,000 to $49,999:"
HD01_VD30,"Estimate; $35,000 to $49,999: - Less than 20.0 percent"
HD02_VD30,"Margin of Error; $35,000 to $49,999: - Less than 20.0 percent"
HD01_VD31,"Estimate; $35,000 to $49,999: - 20.0 to 24.9 percent"
HD02_VD31,"Margin of Error; $35,000 to $49,999: - 20.0 to 24.9 percent"
HD01_VD32,"Estimate; $35,000 to $49,999: - 25.0 to 29.9 percent"
HD02_VD32,"Margin of Error; $35,000 to $49,999: - 25.0 to 29.9 percent"
HD01_VD33,"Estimate; $35,000 to $49,999: - 30.0 to 34.9 percent"
HD02_VD33,"Margin of Error; $35,000 to $49,999: - 30.0 to 34.9 percent"
HD01_VD34,"Estimate; $35,000 to $49,999: - 35.0 to 39.9 percent"
HD02_VD34,"Margin of Error; $35,000 to $49,999: - 35.0 to 39.9 percent"
HD01_VD35,"Estimate; $35,000 to $49,999: - 40.0 to 49.9 percent"
HD02_VD35,"Margin of Error; $35,000 to $49,999: - 40.0 to 49.9 percent"
HD01_VD36,"Estimate; $35,000 to $49,999: - 50.0 percent or more"
HD02_VD36,"Margin of Error; $35,000 to $49,999: - 50.0 percent or more"
HD01_VD37,"Estimate; $35,000 to $49,999: - Not computed"
HD02_VD37,"Margin of Error; $35,000 to $49,999: - Not computed"
HD01_VD38,"Estimate; $50,000 to $74,999:"
HD02_VD38,"Margin of Error; $50,000 to $74,999:"
HD01_VD39,"Estimate; $50,000 to $74,999: - Less than 20.0 percent"
HD02_VD39,"Margin of Error; $50,000 to $74,999: - Less than 20.0 percent"
HD01_VD40,"Estimate; $50,000 to $74,999: - 20.0 to 24.9 percent"
HD02_VD40,"Margin of Error; $50,000 to $74,999: - 20.0 to 24.9 percent"
HD01_VD41,"Estimate; $50,000 to $74,999: - 25.0 to 29.9 percent"
HD02_VD41,"Margin of Error; $50,000 to $74,999: - 25.0 to 29.9 percent"
HD01_VD42,"Estimate; $50,000 to $74,999: - 30.0 to 34.9 percent"
HD02_VD42,"Margin of Error; $50,000 to $74,999: - 30.0 to 34.9 percent"
HD01_VD43,"Estimate; $50,000 to $74,999: - 35.0 to 39.9 percent"
HD02_VD43,"Margin of Error; $50,000 to $74,999: - 35.0 to 39.9 percent"
HD01_VD44,"Estimate; $50,000 to $74,999: - 40.0 to 49.9 percent"
HD02_VD44,"Margin of Error; $50,000 to $74,999: - 40.0 to 49.9 percent"
