"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	55504	Suppressed
	"Baldwin County, AL"	"01003"	27	212628	12.7
	"Barbour County, AL"	"01005"	Suppressed	25270	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	22668	Suppressed
	"Blount County, AL"	"01009"	18	58013	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	10309	Suppressed
	"Butler County, AL"	"01013"	Suppressed	19825	Suppressed
	"Calhoun County, AL"	"01015"	31	114728	27.0
	"Chambers County, AL"	"01017"	Suppressed	33713	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	25857	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	44067	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	12945	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	24083	Suppressed
	"Clay County, AL"	"01027"	Suppressed	13367	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	14900	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	51874	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	54500	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	12469	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	10754	Suppressed
	"Covington County, AL"	"01039"	Suppressed	37092	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	13871	Suppressed
	"Cullman County, AL"	"01043"	19	82755	Unreliable
	"Dale County, AL"	"01045"	Suppressed	49226	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	39215	Suppressed
	"DeKalb County, AL"	"01049"	26	71617	36.3
	"Elmore County, AL"	"01051"	Suppressed	81677	Suppressed
	"Escambia County, AL"	"01053"	13	37447	Unreliable
	"Etowah County, AL"	"01055"	35	102755	34.1
	"Fayette County, AL"	"01057"	Suppressed	16468	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	31495	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	26421	Suppressed
	"Greene County, AL"	"01063"	Suppressed	8330	Suppressed
	"Hale County, AL"	"01065"	Suppressed	14812	Suppressed
	"Henry County, AL"	"01067"	Suppressed	17147	Suppressed
	"Houston County, AL"	"01069"	15	104346	Unreliable
	"Jackson County, AL"	"01071"	Suppressed	51909	Suppressed
	"Jefferson County, AL"	"01073"	208	659197	31.6
	"Lamar County, AL"	"01075"	Suppressed	13946	Suppressed
	"Lauderdale County, AL"	"01077"	11	92538	Unreliable
	"Lawrence County, AL"	"01079"	Suppressed	33049	Suppressed
	"Lee County, AL"	"01081"	15	161604	Unreliable
	"Limestone County, AL"	"01083"	Suppressed	94402	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	10076	Suppressed
	"Macon County, AL"	"01087"	Suppressed	18755	Suppressed
	"Madison County, AL"	"01089"	77	361046	21.3
	"Marengo County, AL"	"01091"	Suppressed	19375	Suppressed
	"Marion County, AL"	"01093"	Suppressed	29833	Suppressed
	"Marshall County, AL"	"01095"	12	95548	Unreliable
	"Mobile County, AL"	"01097"	49	413955	11.8
	"Monroe County, AL"	"01099"	Suppressed	21327	Suppressed
	"Montgomery County, AL"	"01101"	14	226646	Unreliable
	"Morgan County, AL"	"01103"	20	118818	16.8
	"Perry County, AL"	"01105"	Suppressed	9339	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	20176	Suppressed
	"Pike County, AL"	"01109"	Suppressed	33267	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	22670	Suppressed
	"Russell County, AL"	"01113"	Suppressed	57045	Suppressed
	"St. Clair County, AL"	"01115"	28	88199	31.7
	"Shelby County, AL"	"01117"	32	213605	15.0
	"Sumter County, AL"	"01119"	Suppressed	12687	Suppressed
	"Talladega County, AL"	"01121"	13	80065	Unreliable
	"Tallapoosa County, AL"	"01123"	Suppressed	40681	Suppressed
	"Tuscaloosa County, AL"	"01125"	35	207811	16.8
	"Walker County, AL"	"01127"	11	64058	Unreliable
	"Washington County, AL"	"01129"	Suppressed	16531	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	10719	Suppressed
	"Winston County, AL"	"01133"	Suppressed	23722	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	3370	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	5763	Suppressed
	"Anchorage Borough, AK"	"02020"	71	294356	24.1
	"Bethel Census Area, AK"	"02050"	Suppressed	18076	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	867	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	2074	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	4932	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	14	99703	Unreliable
	"Haines Borough, AK"	"02100"	Suppressed	2526	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	2145	Suppressed
	"Juneau Borough, AK"	"02110"	12	32094	Unreliable
	"Kenai Peninsula Borough, AK"	"02122"	10	58617	Unreliable
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	13856	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	13448	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	1620	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	20	106532	18.8
	"Nome Census Area, AK"	"02180"	Suppressed	9921	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	9782	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	7684	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	3281	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	6443	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	8689	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	1157	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	6888	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	9278	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	8202	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	2521	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	605	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	5365	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	71606	Suppressed
	"Cochise County, AZ"	"04003"	28	124756	22.4
	"Coconino County, AZ"	"04005"	27	140776	19.2
	"Gila County, AZ"	"04007"	20	53501	37.4
	"Graham County, AZ"	"04009"	Suppressed	37466	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	9455	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	20601	Suppressed
	"Maricopa County, AZ"	"04013"	969	4307033	22.5
	"Mohave County, AZ"	"04015"	52	207200	25.1
	"Navajo County, AZ"	"04017"	16	108956	Unreliable
	"Pima County, AZ"	"04019"	247	1022769	24.2
	"Pinal County, AZ"	"04021"	59	430237	13.7
	"Santa Cruz County, AZ"	"04023"	Suppressed	46212	Suppressed
	"Yavapai County, AZ"	"04025"	56	228168	24.5
	"Yuma County, AZ"	"04027"	27	207534	13.0
	"Arkansas County, AR"	"05001"	Suppressed	17967	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	20283	Suppressed
	"Baxter County, AR"	"05005"	11	41355	Unreliable
	"Benton County, AR"	"05007"	31	266300	11.6
	"Boone County, AR"	"05009"	Suppressed	37381	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	10864	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	5247	Suppressed
	"Carroll County, AR"	"05015"	Suppressed	27944	Suppressed
	"Chicot County, AR"	"05017"	Suppressed	10636	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22293	Suppressed
	"Clay County, AR"	"05021"	Suppressed	14920	Suppressed
