"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	332422	Suppressed
	"Baldwin County, AL"	"01003"	23	1211341	1.9
	"Barbour County, AL"	"01005"	Suppressed	158888	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	135509	Suppressed
	"Blount County, AL"	"01009"	13	346807	Unreliable
	"Bullock County, AL"	"01011"	Suppressed	63244	Suppressed
	"Butler County, AL"	"01013"	Suppressed	120845	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	694907	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	203981	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	155702	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	263652	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	79490	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	148463	Suppressed
	"Clay County, AL"	"01027"	Suppressed	80887	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	89748	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	307410	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	326579	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	76074	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	64809	Suppressed
	"Covington County, AL"	"01039"	Suppressed	226140	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	83793	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	489771	Suppressed
	"Dale County, AL"	"01045"	Suppressed	297829	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	246925	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	426805	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	487452	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	226674	Suppressed
	"Etowah County, AL"	"01055"	20	620230	3.2
	"Fayette County, AL"	"01057"	Suppressed	100539	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	189713	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	160182	Suppressed
	"Greene County, AL"	"01063"	Suppressed	51404	Suppressed
	"Hale County, AL"	"01065"	Suppressed	90810	Suppressed
	"Henry County, AL"	"01067"	Suppressed	103305	Suppressed
	"Houston County, AL"	"01069"	Suppressed	623838	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	315101	Suppressed
	"Jefferson County, AL"	"01073"	258	3959366	6.5
	"Lamar County, AL"	"01075"	Suppressed	84331	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	555887	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	200310	Suppressed
	"Lee County, AL"	"01081"	Suppressed	930033	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	546104	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	63032	Suppressed
	"Macon County, AL"	"01087"	Suppressed	116471	Suppressed
	"Madison County, AL"	"01089"	27	2111373	1.3
