"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	Suppressed	110920	Suppressed
	"Baldwin County, AL"	"01003"	10	421191	Unreliable
	"Barbour County, AL"	"01005"	Suppressed	51235	Suppressed
	"Bibb County, AL"	"01007"	Suppressed	45311	Suppressed
	"Blount County, AL"	"01009"	Suppressed	115717	Suppressed
	"Bullock County, AL"	"01011"	Suppressed	20671	Suppressed
	"Butler County, AL"	"01013"	Suppressed	39823	Suppressed
	"Calhoun County, AL"	"01015"	Suppressed	229339	Suppressed
	"Chambers County, AL"	"01017"	Suppressed	67556	Suppressed
	"Cherokee County, AL"	"01019"	Suppressed	51582	Suppressed
	"Chilton County, AL"	"01021"	Suppressed	88008	Suppressed
	"Choctaw County, AL"	"01023"	Suppressed	25938	Suppressed
	"Clarke County, AL"	"01025"	Suppressed	48475	Suppressed
	"Clay County, AL"	"01027"	Suppressed	26859	Suppressed
	"Cleburne County, AL"	"01029"	Suppressed	29824	Suppressed
	"Coffee County, AL"	"01031"	Suppressed	103100	Suppressed
	"Colbert County, AL"	"01033"	Suppressed	108716	Suppressed
	"Conecuh County, AL"	"01035"	Suppressed	24864	Suppressed
	"Coosa County, AL"	"01037"	Suppressed	21335	Suppressed
	"Covington County, AL"	"01039"	Suppressed	74550	Suppressed
	"Crenshaw County, AL"	"01041"	Suppressed	27784	Suppressed
	"Cullman County, AL"	"01043"	Suppressed	165226	Suppressed
	"Dale County, AL"	"01045"	Suppressed	98452	Suppressed
	"Dallas County, AL"	"01047"	Suppressed	79223	Suppressed
	"DeKalb County, AL"	"01049"	Suppressed	142517	Suppressed
	"Elmore County, AL"	"01051"	Suppressed	163476	Suppressed
	"Escambia County, AL"	"01053"	Suppressed	75175	Suppressed
	"Etowah County, AL"	"01055"	16	205319	Unreliable
	"Fayette County, AL"	"01057"	Suppressed	33014	Suppressed
	"Franklin County, AL"	"01059"	Suppressed	63123	Suppressed
	"Geneva County, AL"	"01061"	Suppressed	53035	Suppressed
	"Greene County, AL"	"01063"	Suppressed	16752	Suppressed
	"Hale County, AL"	"01065"	Suppressed	29764	Suppressed
	"Henry County, AL"	"01067"	Suppressed	34311	Suppressed
	"Houston County, AL"	"01069"	Suppressed	208402	Suppressed
	"Jackson County, AL"	"01071"	Suppressed	104047	Suppressed
	"Jefferson County, AL"	"01073"	186	1318718	14.1
	"Lamar County, AL"	"01075"	Suppressed	27864	Suppressed
	"Lauderdale County, AL"	"01077"	Suppressed	184856	Suppressed
	"Lawrence County, AL"	"01079"	Suppressed	66293	Suppressed
	"Lee County, AL"	"01081"	Suppressed	320595	Suppressed
	"Limestone County, AL"	"01083"	Suppressed	187155	Suppressed
	"Lowndes County, AL"	"01085"	Suppressed	20434	Suppressed
	"Macon County, AL"	"01087"	Suppressed	37718	Suppressed
	"Madison County, AL"	"01089"	19	718013	Unreliable
	"Marengo County, AL"	"01091"	Suppressed	39048	Suppressed
	"Marion County, AL"	"01093"	Suppressed	59831	Suppressed
	"Marshall County, AL"	"01095"	Suppressed	190705	Suppressed
	"Mobile County, AL"	"01097"	Suppressed	828791	Suppressed
	"Monroe County, AL"	"01099"	Suppressed	42857	Suppressed
	"Montgomery County, AL"	"01101"	Suppressed	452995	Suppressed
	"Morgan County, AL"	"01103"	Suppressed	237830	Suppressed
	"Perry County, AL"	"01105"	Suppressed	18913	Suppressed
	"Pickens County, AL"	"01107"	Suppressed	40500	Suppressed
	"Pike County, AL"	"01109"	Suppressed	66553	Suppressed
	"Randolph County, AL"	"01111"	Suppressed	45322	Suppressed
	"Russell County, AL"	"01113"	Suppressed	115217	Suppressed
	"St. Clair County, AL"	"01115"	11	176218	Unreliable
	"Shelby County, AL"	"01117"	26	424227	6.1
	"Sumter County, AL"	"01119"	Suppressed	25727	Suppressed
	"Talladega County, AL"	"01121"	Suppressed	160168	Suppressed
	"Tallapoosa County, AL"	"01123"	Suppressed	81408	Suppressed
	"Tuscaloosa County, AL"	"01125"	Suppressed	413913	Suppressed
	"Walker County, AL"	"01127"	Suppressed	129025	Suppressed
	"Washington County, AL"	"01129"	Suppressed	33287	Suppressed
	"Wilcox County, AL"	"01131"	Suppressed	21705	Suppressed
	"Winston County, AL"	"01133"	Suppressed	47527	Suppressed
	"Aleutians East Borough, AK"	"02013"	Suppressed	6666	Suppressed
	"Aleutians West Census Area, AK"	"02016"	Suppressed	11410	Suppressed
	"Anchorage Borough, AK"	"02020"	25	592548	4.2
	"Bethel Census Area, AK"	"02050"	Suppressed	36044	Suppressed
	"Bristol Bay Borough, AK"	"02060"	Suppressed	1765	Suppressed
	"Denali Borough, AK"	"02068"	Suppressed	4027	Suppressed
	"Dillingham Census Area, AK"	"02070"	Suppressed	9886	Suppressed
	"Fairbanks North Star Borough, AK"	"02090"	Suppressed	200308	Suppressed
	"Haines Borough, AK"	"02100"	Suppressed	5022	Suppressed
	"Hoonah-Angoon Census Area, AK"	"02105"	Suppressed	4223	Suppressed
	"Juneau Borough, AK"	"02110"	Suppressed	64562	Suppressed
	"Kenai Peninsula Borough, AK"	"02122"	Suppressed	117123	Suppressed
	"Ketchikan Gateway Borough, AK"	"02130"	Suppressed	27602	Suppressed
	"Kodiak Island Borough, AK"	"02150"	Suppressed	27180	Suppressed
	"Lake and Peninsula Borough, AK"	"02164"	Suppressed	3182	Suppressed
	"Matanuska-Susitna Borough, AK"	"02170"	Suppressed	210897	Suppressed
	"Nome Census Area, AK"	"02180"	Suppressed	19838	Suppressed
	"North Slope Borough, AK"	"02185"	Suppressed	19388	Suppressed
	"Northwest Arctic Borough, AK"	"02188"	Suppressed	15357	Suppressed
	"Petersburg Borough/Census Area, AK"	"02195"	Suppressed	6430	Suppressed
	"Prince of Wales-Hyder Census Area, AK"	"02198"	Suppressed	12790	Suppressed
	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	Missing	Missing	Missing
	"Sitka Borough, AK"	"02220"	Suppressed	17519	Suppressed
	"Skagway Municipality, AK"	"02230"	Suppressed	2245	Suppressed
	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	Missing	Missing	Missing
	"Southeast Fairbanks Census Area, AK"	"02240"	Suppressed	13764	Suppressed
	"Valdez-Cordova Census Area, AK"	"02261"	Suppressed	18633	Suppressed
	"Wade Hampton Census Area, AK"	"02270"	Suppressed	16251	Suppressed
	"Wrangell City and Borough, AK"	"02275"	Suppressed	4932	Suppressed
	"Wrangell-Petersburg Census Area, AK"	"02280"	Missing	Missing	Missing
	"Yakutat Borough, AK"	"02282"	Suppressed	1206	Suppressed
	"Yukon-Koyukuk Census Area, AK"	"02290"	Suppressed	10891	Suppressed
	"Apache County, AZ"	"04001"	Suppressed	144718	Suppressed
	"Cochise County, AZ"	"04003"	Suppressed	250526	Suppressed
	"Coconino County, AZ"	"04005"	Suppressed	281684	Suppressed
	"Gila County, AZ"	"04007"	Suppressed	107057	Suppressed
	"Graham County, AZ"	"04009"	Suppressed	75065	Suppressed
	"Greenlee County, AZ"	"04011"	Suppressed	19068	Suppressed
	"La Paz County, AZ"	"04012"	Suppressed	40918	Suppressed
	"Maricopa County, AZ"	"04013"	296	8550030	3.5
	"Mohave County, AZ"	"04015"	Suppressed	412449	Suppressed
	"Navajo County, AZ"	"04017"	Suppressed	218982	Suppressed
	"Pima County, AZ"	"04019"	52	2038975	2.6
	"Pinal County, AZ"	"04021"	12	848777	Unreliable
	"Santa Cruz County, AZ"	"04023"	Suppressed	92197	Suppressed
	"Yavapai County, AZ"	"04025"	10	453730	Unreliable
	"Yuma County, AZ"	"04027"	Suppressed	413165	Suppressed
	"Arkansas County, AR"	"05001"	Suppressed	36181	Suppressed
	"Ashley County, AR"	"05003"	Suppressed	40775	Suppressed
	"Baxter County, AR"	"05005"	Suppressed	82417	Suppressed
	"Benton County, AR"	"05007"	Suppressed	524591	Suppressed
	"Boone County, AR"	"05009"	Suppressed	74685	Suppressed
	"Bradley County, AR"	"05011"	Suppressed	21860	Suppressed
	"Calhoun County, AR"	"05013"	Suppressed	10391	Suppressed
