"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Alabama"	"01"	"1999"	"1999"	10	4430141	Unreliable	Unreliable
	"Alabama"	"01"	"2000"	"2000"	11	4447100	Unreliable	Unreliable
	"Alabama"	"01"	"2001"	"2001"	Suppressed	4467634	Suppressed	Suppressed
	"Alabama"	"01"	"2002"	"2002"	Suppressed	4480089	Suppressed	Suppressed
	"Alabama"	"01"	"2003"	"2003"	Suppressed	4503491	Suppressed	Suppressed
	"Alabama"	"01"	"2004"	"2004"	12	4530729	Unreliable	Unreliable
	"Alabama"	"01"	"2005"	"2005"	11	4569805	Unreliable	Unreliable
	"Alabama"	"01"	"2006"	"2006"	22	4628981	0.5	0.5
	"Alabama"	"01"	"2007"	"2007"	21	4672840	0.4	0.4
	"Alabama"	"01"	"2008"	"2008"	19	4718206	Unreliable	Unreliable
	"Alabama"	"01"	"2009"	"2009"	31	4757938	0.7	0.7
	"Alabama"	"01"	"2010"	"2010"	34	4779736	0.7	0.7
	"Alabama"	"01"	"2011"	"2011"	19	4802740	Unreliable	Unreliable
	"Alabama"	"01"	"2012"	"2012"	16	4822023	Unreliable	Unreliable
	"Alabama"	"01"	"2013"	"2013"	30	4833722	0.6	0.6
	"Alabama"	"01"	"2014"	"2014"	47	4849377	1.0	1.0
	"Alabama"	"01"	"2015"	"2015"	70	4858979	1.4	1.6
	"Alabama"	"01"	"2016"	"2016"	157	4863300	3.2	3.5
	"Alabama"	"01"	"2017"	"2017"	198	4874747	4.1	4.3
	"Alaska"	"02"	"1999"	"1999"	Suppressed	624779	Suppressed	Suppressed
	"Alaska"	"02"	"2000"	"2000"	Suppressed	626932	Suppressed	Suppressed
	"Alaska"	"02"	"2001"	"2001"	Suppressed	633714	Suppressed	Suppressed
	"Alaska"	"02"	"2002"	"2002"	Suppressed	642337	Suppressed	Suppressed
	"Alaska"	"02"	"2003"	"2003"	Suppressed	648414	Suppressed	Suppressed
	"Alaska"	"02"	"2004"	"2004"	Suppressed	659286	Suppressed	Suppressed
	"Alaska"	"02"	"2005"	"2005"	Suppressed	666946	Suppressed	Suppressed
	"Alaska"	"02"	"2006"	"2006"	Suppressed	675302	Suppressed	Suppressed
	"Alaska"	"02"	"2007"	"2007"	Suppressed	680300	Suppressed	Suppressed
	"Alaska"	"02"	"2008"	"2008"	13	687455	Unreliable	Unreliable
	"Alaska"	"02"	"2009"	"2009"	22	698895	3.1	2.9
	"Alaska"	"02"	"2010"	"2010"	10	710231	Unreliable	Unreliable
	"Alaska"	"02"	"2011"	"2011"	Suppressed	722718	Suppressed	Suppressed
	"Alaska"	"02"	"2012"	"2012"	Suppressed	731449	Suppressed	Suppressed
	"Alaska"	"02"	"2013"	"2013"	12	735132	Unreliable	Unreliable
	"Alaska"	"02"	"2014"	"2014"	14	736732	Unreliable	Unreliable
	"Alaska"	"02"	"2015"	"2015"	14	738432	Unreliable	Unreliable
	"Alaska"	"02"	"2016"	"2016"	Suppressed	741894	Suppressed	Suppressed
	"Alaska"	"02"	"2017"	"2017"	37	739795	5.0	4.9
	"Arizona"	"04"	"1999"	"1999"	22	5023823	0.4	0.5
	"Arizona"	"04"	"2000"	"2000"	17	5130632	Unreliable	Unreliable
	"Arizona"	"04"	"2001"	"2001"	20	5273477	0.4	0.4
